Date,Close
12/18/2006,11508
12/19/2006,12460
12/20/2006,12366
12/21/2006,11842
12/22/2006,10662
12/25/2006,9596
12/26/2006,10031
12/27/2006,10031
12/28/2006,9905
12/29/2006,9779
1/2/2007,9621
1/3/2007,9981
1/4/2007,10687
1/5/2007,11703
1/8/2007,11104
1/9/2007,11798
1/10/2007,12435
1/11/2007,12429
1/12/2007,13438
1/15/2007,14069
1/16/2007,13754
1/17/2007,12719
1/18/2007,13375
1/19/2007,13312
1/22/2007,12555
1/23/2007,12555
1/24/2007,12650
1/25/2007,12189
1/26/2007,12618
1/29/2007,13249
1/30/2007,13848
1/31/2007,13817
2/1/2007,13375
2/2/2007,13186
2/5/2007,13091
2/6/2007,13060
2/7/2007,12870
2/8/2007,12271
2/9/2007,12309
2/12/2007,12933
2/13/2007,13015
2/14/2007,13060
2/15/2007,13217
2/26/2007,14523
2/27/2007,14700
2/28/2007,13943
3/1/2007,14006
3/2/2007,13880
3/5/2007,14038
3/6/2007,13817
3/7/2007,13375
3/8/2007,13754
3/9/2007,13754
3/12/2007,14258
3/13/2007,14555
3/14/2007,13974
3/15/2007,13678
3/16/2007,14448
3/19/2007,15873
3/20/2007,16088
3/21/2007,16088
3/22/2007,15899
3/23/2007,15665
3/26/2007,14517
3/27/2007,13564
3/28/2007,14952
3/29/2007,14952
3/30/2007,14435
4/2/2007,14227
4/3/2007,14227
4/4/2007,14536
4/5/2007,14309
4/6/2007,14416
4/9/2007,14820
4/10/2007,14732
4/11/2007,14732
4/12/2007,14448
4/13/2007,14347
4/16/2007,13627
4/17/2007,13880
4/18/2007,14448
4/19/2007,14056
4/20/2007,14069
4/23/2007,13533
4/24/2007,13489
4/25/2007,13755
5/2/2007,13799
5/3/2007,13818
5/4/2007,13787
5/7/2007,14256
5/8/2007,14294
5/9/2007,14199
5/10/2007,14199
5/11/2007,14547
5/14/2007,15473
5/15/2007,15181
5/16/2007,15086
5/17/2007,15466
5/18/2007,15403
5/21/2007,15422
5/22/2007,15340
5/23/2007,15086
5/24/2007,15287
5/25/2007,15244
5/28/2007,14904
5/29/2007,14691
5/30/2007,14554
5/31/2007,14912
6/1/2007,14818
6/4/2007,14742
6/5/2007,14478
6/6/2007,14503
6/7/2007,14478
6/8/2007,14418
6/11/2007,14307
6/12/2007,14265
6/13/2007,14094
6/14/2007,14052
6/15/2007,14205
6/18/2007,14333
6/19/2007,14205
6/20/2007,14265
6/21/2007,14009
6/22/2007,14009
6/25/2007,13873
6/26/2007,13796
6/27/2007,13584
6/28/2007,13285
6/29/2007,13090
7/2/2007,12221
7/3/2007,12613
7/4/2007,13430
7/5/2007,12723
7/6/2007,13200
7/9/2007,13447
7/10/2007,13924
7/11/2007,13839
7/12/2007,13456
7/13/2007,13711
7/16/2007,13413
7/17/2007,13481
7/18/2007,13490
7/19/2007,13388
7/20/2007,13328
7/23/2007,13243
7/24/2007,13285
7/25/2007,13328
7/26/2007,13277
7/27/2007,13277
7/30/2007,13200
7/31/2007,13115
8/1/2007,13413
8/2/2007,13200
8/3/2007,13226
8/6/2007,13141
8/7/2007,13209
8/8/2007,13183
8/9/2007,13456
8/10/2007,13456
8/13/2007,13294
8/14/2007,13413
8/15/2007,13498
8/16/2007,13473
8/17/2007,13396
8/20/2007,13345
8/21/2007,13328
8/22/2007,13379
8/23/2007,13413
8/24/2007,13456
8/27/2007,13473
8/28/2007,13422
8/29/2007,13405
8/30/2007,13456
8/31/2007,13524
9/4/2007,13882
9/5/2007,13924
9/6/2007,14393
9/7/2007,14742
9/10/2007,14648
9/11/2007,14376
9/12/2007,14478
9/13/2007,14410
9/14/2007,14478
9/17/2007,14529
9/18/2007,14529
9/19/2007,14776
9/20/2007,14691
9/21/2007,14699
9/24/2007,14904
9/25/2007,15253
9/26/2007,15287
9/27/2007,16181
9/28/2007,17314
10/1/2007,18889
10/2/2007,19417
10/3/2007,19928
10/4/2007,21589
10/5/2007,21291
10/8/2007,20397
10/9/2007,20950
10/10/2007,21206
10/11/2007,21589
10/12/2007,22551
10/29/2007,24271
10/30/2007,23675
10/31/2007,22568
11/1/2007,23675
11/2/2007,23079
11/5/2007,22653
11/6/2007,22228
11/7/2007,22568
11/8/2007,22228
11/9/2007,21887
11/12/2007,21376
11/13/2007,20354
11/14/2007,21291
11/15/2007,22228
11/16/2007,22142
11/19/2007,22142
11/20/2007,21802
11/21/2007,21461
11/22/2007,21631
11/23/2007,21376
11/26/2007,21972
11/27/2007,21972
11/28/2007,22057
11/29/2007,21887
11/30/2007,22228
12/3/2007,22909
12/4/2007,22994
12/5/2007,22653
12/6/2007,22653
12/7/2007,22824
12/10/2007,22398
12/11/2007,22057
12/12/2007,22142
12/13/2007,21802
12/14/2007,22057
12/17/2007,21546
12/18/2007,21546
12/19/2007,21802
12/20/2007,21461
12/21/2007,21546
12/24/2007,21717
12/25/2007,21078
12/26/2007,21333
12/27/2007,21333
12/28/2007,21461
1/2/2008,21461
1/3/2008,21206
1/4/2008,21078
1/7/2008,20439
1/8/2008,20567
1/9/2008,20184
1/10/2008,19417
1/11/2008,19545
1/14/2008,18906
1/15/2008,18012
1/16/2008,18906
1/17/2008,18651
1/18/2008,18906
1/21/2008,18523
1/22/2008,17756
1/23/2008,16990
1/24/2008,16990
1/25/2008,17245
1/28/2008,17245
1/29/2008,17629
1/30/2008,18395
1/31/2008,18012
2/1/2008,18267
2/12/2008,17501
2/13/2008,16990
2/14/2008,16990
2/15/2008,16607
2/18/2008,15840
2/19/2008,15074
2/20/2008,14435
2/21/2008,13796
2/22/2008,13158
2/25/2008,13669
2/26/2008,13030
2/27/2008,12391
2/28/2008,11880
2/29/2008,11305
3/3/2008,10794
3/4/2008,10283
3/5/2008,9772
3/6/2008,10220
3/7/2008,10731
3/10/2008,10603
3/11/2008,10092
3/12/2008,10156
3/13/2008,10603
3/14/2008,10347
3/17/2008,9836
3/18/2008,9389
3/19/2008,8942
3/20/2008,8495
3/21/2008,8112
3/24/2008,7729
3/25/2008,7345
3/26/2008,7026
3/27/2008,7090
3/28/2008,7154
3/31/2008,7218
4/1/2008,7281
4/2/2008,7345
4/3/2008,7409
4/4/2008,7473
4/7/2008,7601
4/8/2008,7537
4/9/2008,7409
4/10/2008,7281
4/11/2008,7154
4/16/2008,7026
4/17/2008,7154
4/18/2008,7154
4/21/2008,7026
4/22/2008,6898
4/23/2008,6770
4/24/2008,6643
4/25/2008,6515
4/28/2008,6387
4/29/2008,6260
5/5/2008,6145
5/6/2008,6030
5/7/2008,5915
5/8/2008,5800
5/9/2008,5685
5/12/2008,5582
5/13/2008,5480
5/14/2008,5378
5/15/2008,5271
5/16/2008,5177
5/19/2008,5083
5/20/2008,4989
5/21/2008,4895
5/22/2008,4801
5/23/2008,4707
5/26/2008,4614
5/30/2008,4533
6/2/2008,4453
6/3/2008,4372
6/4/2008,4292
6/5/2008,4211
6/6/2008,4131
6/9/2008,4050
6/10/2008,3970
6/11/2008,3903
6/12/2008,3836
6/13/2008,3769
6/16/2008,3836
6/17/2008,3903
6/18/2008,3836
6/19/2008,3728
6/20/2008,3621
6/23/2008,3728
6/24/2008,3836
6/25/2008,3943
6/26/2008,4050
6/27/2008,4171
6/30/2008,4292
7/1/2008,4412
7/2/2008,4533
7/3/2008,4667
7/4/2008,4801
7/7/2008,4935
7/8/2008,5083
7/9/2008,5231
7/10/2008,5378
7/11/2008,5539
7/14/2008,5700
7/15/2008,5861
7/16/2008,6035
7/17/2008,6210
7/18/2008,6384
7/21/2008,6572
7/22/2008,6384
7/23/2008,6196
7/24/2008,6022
7/25/2008,5847
7/28/2008,5673
7/29/2008,5834
7/30/2008,5660
7/31/2008,5499
8/1/2008,5338
8/4/2008,5190
8/5/2008,5043
8/6/2008,4895
8/7/2008,4775
8/8/2008,4909
8/11/2008,5043
8/12/2008,5190
8/13/2008,5338
8/14/2008,5485
8/15/2008,5646
8/18/2008,5928
8/19/2008,6223
8/20/2008,6531
8/21/2008,6840
8/22/2008,7175
8/25/2008,7511
8/26/2008,7846
8/27/2008,8181
8/28/2008,8583
8/29/2008,8986
9/3/2008,9388
9/4/2008,9858
9/5/2008,10327
9/8/2008,9858
9/9/2008,9388
9/10/2008,8919
9/11/2008,8516
9/12/2008,8114
9/15/2008,7913
9/16/2008,7578
9/17/2008,7242
9/18/2008,6907
9/19/2008,7242
9/22/2008,7578
9/23/2008,7242
9/24/2008,6974
9/25/2008,7309
9/26/2008,7645
9/29/2008,7578
9/30/2008,7242
10/1/2008,7041
10/2/2008,7175
10/3/2008,7041
10/6/2008,6692
10/7/2008,6371
10/8/2008,6062
10/9/2008,5767
10/10/2008,5485
10/13/2008,5217
10/14/2008,5472
10/15/2008,5432
10/16/2008,5163
